day_of_sem,report_date,cu_num_tests,cu_num_referals,cu_pcr_tests,cu_positive_pcr,cu_isolation,boco_new_cases,boco_res_affiliated_cu,cu_total_pos_pcr
1,8/24/2020,255,1,23,3,5,9,3,3
2,8/25/2020,435,1,79,4,3,16,4,7
3,8/26/2020,378,0,73,1,4,5,0,8
4,8/27/2020,801,3,52,2,6,9,4,10
5,8/28/2020,761,0,80,3,5,11,6,13
6,8/29/2020,NA,NA,NA,NA,NA,5,1,13
7,8/30/2020,NA,NA,NA,NA,NA,10,1,13
8,8/31/2020,1208,1,32,2,4,13,1,15
9,9/1/2020,887,13,30,1,7,15,6,16
10,9/2/2020,952,9,107,21,10,12,8,37
11,9/3/2020,1194,6,68,17,12,20,33,54
12,9/4/2020,1011,15,226,49,15,35,11,103
13,9/5/2020,NA,NA,NA,NA,NA,15,48,103
14,9/6/2020,NA,NA,NA,NA,NA,62,6,103
15,9/7/2020,NA,NA,NA,NA,NA,9,14,103
16,9/8/2020,1373,24,171,30,22,7,43,133
17,9/9/2020,1001,47,178,41,35,59,40,174
18,9/10/2020,1086,53,139,45,44,37,26,219
19,9/11/2020,1246,47,318,89,62,41,49,308
20,9/12/2020,NA,NA,NA,NA,NA,75,83,308
21,9/13/2020,NA,NA,NA,NA,NA,90,57,308
22,9/14/2020,1457,121,240,77,63,67,44,385
23,9/15/2020,1791,182,218,56,122,32,98,441
24,9/16/2020,1379,103,297,100,151,144,49,541
25,9/17/2020,1151,83,571,130,178,66,111,671
26,9/18/2020,1048,48,344,94,251,138,82,765
27,9/19/2020,NA,NA,NA,NA,NA,100,134,765
28,9/20/2020,NA,NA,NA,NA,NA,151,179,765
29,9/21/2020,1392,68,236,94,262,198,149,859
30,9/22/2020,1245,50,277,53,285,151,107,912
31,9/23/2020,888,31,217,21,273,166,70,933
32,9/24/2020,913,34,207,64,270,69,88,997
33,9/25/2020,820,25,137,22,240,132,32,1019
34,9/26/2020,NA,NA,NA,NA,NA,61,58,1019
35,9/27/2020,NA,NA,NA,NA,NA,71,2,1019
36,9/28/2020,1055,17,165,32,167,15,21,1051
37,9/29/2020,1078,15,103,14,137,58,17,1065
38,9/30/2020,784,13,113,5,131,39,14,1070
39,10/1/2020,739,6,81,5,113,43,20,1075
40,10/2/2020,728,10,67,7,77,42,8,1082
41,10/3/2020,NA,NA,NA,NA,NA,49,0,1082
42,10/4/2020,NA,NA,NA,NA,NA,25,1,1082
43,10/5/2020,813,6,36,0,40,13,3,1082
44,10/6/2020,916,4,142,8,26,21,7,1090
45,10/07/20,718,2,94,7,23,34,7,1097
46,10/08/20,861,1,79,2,20,43,2,1099
47,10/09/20,868,1,54,1,15,22,6,1100
48,10/10/20,NA,NA,NA,NA,NA,37,2,1100
49,10/11/20,NA,NA,NA,NA,NA,18,2,1100
50,10/12/20,942,1,80,6,11,9,3,1106
51,10/13/20,1059,1,113,4,10,34,7,1110
52,10/14/20,756,1,114,2,9,25,1,1112
53,10/15/20,879,4,61,2,4,41,1,1114
54,10/16/20,793,0,71,1,4,40,4,1115
55,10/17/20,NA,NA,NA,NA,NA,36,3,1115
56,10/18/20,NA,NA,NA,NA,NA,29,3,1115
57,10/19/20,902,4,111,2,1,46,2,1117
58,10/20/20,952,3,91,2,1,52,1,1119
59,10/21/20,708,3,175,3,2,47,4,1122
60,10/22/20,820,4,95,5,2,57,7,1127
61,10/23/20,804,1,75,6,2,56,9,1133
62,10/24/20,NA,NA,NA,NA,NA,85,8,1133
63,10/25/20,NA,NA,NA,NA,NA,55,2,1133
64,10/26/20,495,3,11,8,4,60,6,1141
65,10/27/20,1035,5,122,4,3,47,9,1145
66,10/28/20,808,4,227,9,5,150,10,1154
67,10/29/20,980,2,107,5,6,9,6,1159
68,10/30/20,771,1,92,10,6,96,9,1169
69,10/31/20,NA,NA,64,NA,6,114,5,1169
70,11/01/20,NA,NA,NA,NA,NA,118,1,1169
71,11/02/20,1063,19,79,5,8,72,9,1174
72,11/03/20,1006,24,84,4,8,95,7,1178
73,11/04/20,847,19,274,38,13,112,18,1216
74,11/05/20,1027,19,181,23,28,158,28,1239
75,11/06/20,955,23,409,32,35,168,NA,1271
